Num_ordine,Linea_Num_Ordine,ID_Prodotto,ID_Rivenditore,Quant,Prezzo_Unitario,Totale_Vendita,Costo_Totale
SO43659,1,349,676,1,2024.99,2024.99,1898.0900
SO43659,2,350,676,3,2024.99,6074.97,5694.2700
SO43659,3,351,676,1,2024.99,2024.99,1898.0900
SO43659,4,344,676,1,2039.99,2039.99,1912.1500
SO43659,5,345,676,1,2039.99,2039.99,1912.1500
SO43659,6,346,676,2,2039.99,4079.98,3824.3000
SO43659,7,347,676,1,2039.99,2039.99,1912.1500
SO43659,8,229,676,3,28.84,86.52,95.1600
SO43659,9,235,676,1,28.84,28.84,31.7200
SO43659,10,218,676,6,5.70,34.20,20.4000
SO43659,11,223,676,2,5.19,10.38,11.4200
SO43659,12,220,676,4,20.19,80.76,48.1200
SO43660,1,326,117,1,419.46,419.46,413.1500
SO43660,2,319,117,1,874.79,874.79,884.7100
SO43661,1,300,442,1,809.76,809.76,699.0900
SO43661,2,296,442,1,714.70,714.70,617.0300
SO43661,3,304,442,2,714.70,1429.40,1234.0600
SO43661,4,223,442,4,5.19,20.76,22.8400
SO43661,5,232,442,4,28.84,115.36,126.8800
SO43661,6,293,442,2,722.59,1445.18,1247.6800
SO43661,7,348,442,3,2024.99,6074.97,5694.2700
SO43661,8,351,442,2,2024.99,4049.98,3796.1800
SO43661,9,220,442,2,20.19,40.38,24.0600
SO43661,10,292,442,2,818.70,1637.40,1413.6200
SO43661,11,349,442,4,2024.99,8099.96,7592.3600
SO43661,12,346,442,2,2039.99,4079.98,3824.3000
SO43661,13,235,442,2,28.84,57.68,63.4400
SO43661,14,350,442,2,2024.99,4049.98,3796.1800
SO43661,15,215,442,5,20.19,100.95,60.1500
SO43662,1,330,227,3,419.46,1258.38,1239.4500
SO43662,2,342,227,5,419.46,2097.30,2065.7500
SO43662,3,272,227,2,183.94,367.88,362.9800
SO43662,4,315,227,4,874.79,3499.16,3538.8400
SO43662,5,262,227,3,183.94,551.82,544.4700
SO43662,6,326,227,5,419.46,2097.30,2065.7500
SO43662,7,332,227,3,419.46,1258.38,1239.4500
SO43662,8,338,227,2,419.46,838.92,826.3000
SO43662,9,314,227,1,2146.96,2146.96,2171.2900
SO43662,10,317,227,1,874.79,874.79,884.7100
SO43662,11,328,227,3,419.46,1258.38,1239.4500
SO43662,12,275,227,1,356.90,356.90,352.1400
SO43662,13,319,227,6,874.79,5248.74,5308.2600
SO43662,14,270,227,1,183.94,183.94,181.4900
SO43662,15,253,227,3,178.58,535.74,528.6000
SO43662,16,310,227,1,2146.96,2146.96,2171.2900
SO43662,17,322,227,3,419.46,1258.38,1239.4500
SO43662,18,264,227,1,183.94,183.94,181.4900
SO43662,19,276,227,1,356.90,356.90,352.1400
SO43662,20,285,227,1,178.58,178.58,176.2000
SO43662,21,334,227,3,419.46,1258.38,1239.4500
SO43662,22,316,227,1,874.79,874.79,884.7100
SO43663,1,322,510,1,419.46,419.46,413.1500
SO43664,1,345,397,1,2039.99,2039.99,1912.1500
SO43664,2,348,397,4,2024.99,8099.96,7592.3600
SO43664,3,229,397,1,28.84,28.84,31.7200
SO43664,4,235,397,1,28.84,28.84,31.7200
SO43664,5,350,397,2,2024.99,4049.98,3796.1800
SO43664,6,344,397,3,2039.99,6119.97,5736.4500
SO43664,7,346,397,1,2039.99,2039.99,1912.1500
SO43664,8,351,397,1,2024.99,2024.99,1898.0900
SO43665,1,220,146,2,20.19,40.38,24.0600
SO43665,2,346,146,1,2039.99,2039.99,1912.1500
SO43665,3,212,146,1,20.19,20.19,12.0300
SO43665,4,232,146,2,28.84,57.68,63.4400
SO43665,5,350,146,2,2024.99,4049.98,3796.1800
SO43665,6,223,146,2,5.19,10.38,11.4200
SO43665,7,348,146,2,2024.99,4049.98,3796.1800
SO43665,8,351,146,1,2024.99,2024.99,1898.0900
SO43665,9,218,146,6,5.70,34.20,20.4000
SO43665,10,349,146,1,2024.99,2024.99,1898.0900
SO43666,1,330,511,1,419.46,419.46,413.1500
SO43666,2,314,511,1,2146.96,2146.96,2171.2900
SO43666,3,275,511,1,356.90,356.90,352.1400
SO43666,4,317,511,1,874.79,874.79,884.7100
SO43666,5,338,511,2,419.46,838.92,826.3000
SO43666,6,334,511,1,419.46,419.46,413.1500
SO43667,1,219,646,3,5.70,17.10,10.1900
SO43667,2,346,646,1,2039.99,2039.99,1912.1500
SO43667,3,351,646,1,2024.99,2024.99,1898.0900
SO43667,4,348,646,1,2024.99,2024.99,1898.0900
SO43668,1,317,514,3,874.79,2624.37,2654.1200
SO43668,2,314,514,2,2146.96,4293.92,4342.5900
SO43668,3,322,514,7,419.46,2936.22,2892.0200
SO43668,4,332,514,6,419.46,2516.76,2478.8800
SO43668,5,232,514,6,28.84,173.04,190.3500
SO43668,6,272,514,6,183.94,1103.64,1088.9100
SO43668,7,212,514,2,20.19,40.38,24.0600
SO43668,8,220,514,2,20.19,40.38,24.0600
SO43668,9,315,514,2,874.79,1749.58,1769.4200
SO43668,10,223,514,4,5.19,20.76,22.8200
SO43668,11,270,514,2,183.94,367.88,362.9700
SO43668,12,316,514,3,874.79,2624.37,2654.1200
SO43668,13,324,514,3,419.46,1258.38,1239.4400
SO43668,14,342,514,2,419.46,838.92,826.2900
SO43668,15,264,514,3,183.94,551.82,544.4600
SO43668,16,330,514,2,419.46,838.92,826.2900
SO43668,17,334,514,2,419.46,838.92,826.2900
SO43668,18,262,514,2,183.94,367.88,362.9700
SO43668,19,235,514,1,28.84,28.84,31.7200
SO43668,20,338,514,2,419.46,838.92,826.2900
SO43668,21,275,514,4,356.90,1427.60,1408.5600
SO43668,22,319,514,6,874.79,5248.74,5308.2500
SO43668,23,326,514,4,419.46,1677.84,1652.5900
SO43668,24,285,514,3,178.58,535.74,528.6000
SO43668,25,229,514,4,28.84,115.36,126.9000
SO43668,26,253,514,3,178.58,535.74,528.6000
SO43668,27,215,514,1,20.19,20.19,12.0300
SO43668,28,276,514,3,356.90,1070.70,1056.4200
SO43668,29,328,514,3,419.46,1258.38,1239.4400
SO43669,1,304,578,1,714.70,714.70,617.0300
SO43670,1,219,504,1,5.70,5.70,3.4000
SO43670,2,218,504,2,5.70,11.40,6.7900
SO43670,3,346,504,2,2039.99,4079.98,3824.3100
SO43670,4,349,504,1,2024.99,2024.99,1898.0900
SO43671,1,314,200,1,2146.96,2146.96,2171.2900
SO43671,2,229,200,2,28.84,57.68,63.4500
SO43671,3,317,200,1,874.79,874.79,884.7100
SO43671,4,338,200,2,419.46,838.92,826.2900
SO43671,5,275,200,2,356.90,713.80,704.2800
SO43671,6,328,200,2,419.46,838.92,826.2900
SO43671,7,316,200,2,874.79,1749.58,1769.4200
SO43671,8,330,200,2,419.46,838.92,826.2900
SO43671,9,235,200,1,28.84,28.84,31.7200
SO43671,10,220,200,1,20.19,20.19,12.0300
SO43671,11,215,200,1,20.19,20.19,12.0300
SO43672,1,218,119,6,5.70,34.20,20.3800
SO43672,2,349,119,2,2024.99,4049.98,3796.1900
SO43672,3,347,119,1,2039.99,2039.99,1912.1500
